obs,s_cog,s_skewness,sh_cog,sh_skewness
1,3285.3001128225,-1.2152770836282774,2408.5186433093018,-0.24808262413423587
2,4664.371387589953,-1.1854471192107856,2823.3980928805804,-0.016526028100422807
3,4679.531615881985,-1.0676233049367418,2898.3523545371145,0.1176789947094144
4,4873.546189257668,-1.0610644930923319,3617.479955913104,0.1978252522693898
5,4878.759419458196,-1.0342092376377698,3668.004349360256,0.2118224990128379
6,5194.611612843644,-0.9485275167632781,3684.5680370317205,0.2624012026010098
7,5455.066390984769,-0.9086765880477776,3875.3635946357367,0.3238174132482582
8,5483.809736901054,-0.8775832586887553,3917.7698181256037,0.4935191988520689
9,5683.643324222082,-0.8672691113582884,3952.5492826310515,0.5104642476852821
10,5829.507771815361,-0.8593211742525798,3955.0970083767993,0.5217609066878798
11,5889.8432364114315,-0.7006081080014512,3956.955967533676,0.5412233561436989
12,5987.429052428485,-0.6923963132521094,4059.6519866921526,0.574366402048997
13,6075.7813516534925,-0.6806629418715262,4310.137289247496,0.5892927657960241
14,6093.901321217509,-0.6251678804642199,4334.353248159762,0.6324074189173344
15,6238.324705129217,-0.6205981303951554,4495.860598315769,0.7097140021378583
16,6321.221195098088,-0.5760628186083419,4610.540598766035,0.7665050684654031
17,6443.836210685299,-0.5510134764196044,4625.709040584854,0.7996905322293262
18,6624.930918143108,-0.5116122957410247,4735.181897286575,1.125533041856412
19,7011.781168450848,-0.31844170440463704,4880.020297587106,1.4224969015521043
20,7095.280802137791,-0.126860035522949,5086.943641223235,1.518679459412006
